가맹점주소,location,lat,lon
서울특별시 성동구 마장동,"마장동, 성동구, 서울특별시, 대한민국",37.56743,127.04045
서울특별시 성동구 사근동,"사근동, 성동구, 서울특별시, 대한민국",37.5589948,127.0480281
서울특별시 성동구 송정동,"송정동, 성동구, 서울특별시, 04801, 대한민국",37.5537482,127.0684835
서울특별시 성동구 용답동,"용답동, 성동구, 서울특별시, 대한민국",37.5613328,127.0580146
서울특별시 성동구 행당동,"행당동, 행당1동, 성동구, 서울특별시, 04744, 대한민국",37.55783,127.03571
서울특별시 성동구 홍익동,"홍익동, 10통, 왕십리도선동, 성동구, 서울특별시, 04706, 대한민국",37.5660138,127.0327281
서울특별시 성동구 행당1동,"행당1동, 성동구, 서울특별시, 대한민국",37.5597078,127.0351132
서울특별시 성동구 도선동,"도선동, 4통, 왕십리도선동, 성동구, 서울특별시, 04708, 대한민국",37.56322,127.03311
서울특별시 성동구 마장로,"마장로, 상왕십리동, 27통, 왕십리도선동, 성동구, 서울특별시, 04700, 대한민국",37.5676976,127.0247771
서울특별시 성동구 무학로,"무학로, 17통, 왕십리도선동, 성동구, 서울특별시, 02589, 대한민국",37.5691759,127.030254
서울특별시 성동구 상원길,"상원길, 성수1가2동, 성동구, 서울특별시, 04790, 대한민국",37.5454184,127.0491386
서울특별시 성동구 응봉동,"응봉동, 성동구, 서울특별시, 대한민국",37.55236,127.03356
서울특별시 성동구 마조로 9,"마조로, 사근동, 성동구, 서울특별시, 04760, 대한민국",37.5589147,127.0403463
서울특별시 성동구 무학로 8,"무학로, 17통, 왕십리도선동, 성동구, 서울특별시, 02589, 대한민국",37.5691759,127.030254
서울특별시 성동구 상원6길,"상원6길, 성수1가2동, 성동구, 서울특별시, 04790, 대한민국",37.5488081,127.0492651
서울특별시 성동구 옥수2동,,,
서울특별시 성동구 행당2동,"행당2동, 성동구, 서울특별시, 대한민국",37.5562818,127.0294504
서울특별시 성동구 금호동2가,"금호동2가, 금호2·3가동, 성동구, 서울특별시, 04726, 대한민국",37.55311,127.0211
서울특별시 성동구 금호동3가,"금호동3가, 금호2·3가동, 성동구, 서울특별시, 04729, 대한민국",37.54998,127.02213
서울특별시 성동구 금호로 56,"금호로, 금호동4가, 금호4가동, 성동구, 서울특별시, 04743, 대한민국",37.5451838,127.0245198
서울특별시 성동구 금호로 62,"한국피자헛 금호사거리점, 62, 금호로, 금호동1가, 금호1가동, 성동구, 서울특별시, 04718, 대한민국",37.5488427,127.0260767
서울특별시 성동구 금호로 66,"금호로, 금호동4가, 금호4가동, 성동구, 서울특별시, 04743, 대한민국",37.5451838,127.0245198
서울특별시 성동구 동일로 83,"동일로, 성수2가3동, 성동구, 서울특별시, 05020, 대한민국",37.5439466,127.0649134
서울특별시 성동구 마조로 11,"마조로, 사근동, 성동구, 서울특별시, 04760, 대한민국",37.5589147,127.0403463
서울특별시 성동구 마조로 17,"마조로, 사근동, 성동구, 서울특별시, 04760, 대한민국",37.5589147,127.0403463
서울특별시 성동구 마조로 25,"토리아에즈 한양대, 25, 마조로, 사근동, 성동구, 서울특별시, 04759, 대한민국",37.5600094,127.0410395
서울특별시 성동구 마조로 29,"마조로, 사근동, 성동구, 서울특별시, 04760, 대한민국",37.5589147,127.0403463
서울특별시 성동구 마조로 31,"마조로, 사근동, 성동구, 서울특별시, 04760, 대한민국",37.5589147,127.0403463
서울특별시 성동구 마조로 33,"마조로, 사근동, 성동구, 서울특별시, 04760, 대한민국",37.5589147,127.0403463
서울특별시 성동구 마조로 35,"버거쑈, 35, 마조로, 사근동, 성동구, 서울특별시, 04759, 대한민국",37.5608708,127.0411807
서울특별시 성동구 마조로 39,"스마일, 39, 마조로, 사근동, 성동구, 서울특별시, 04759, 대한민국",37.5612857,127.0413099
서울특별시 성동구 마조로 7,"세븐일레븐, 마조로, 사근동, 성동구, 서울특별시, 04760, 대한민국",37.5590251,127.0407443
서울특별시 성동구 매봉길 2,"매봉길, 금호동4가, 금호4가동, 성동구, 서울특별시, 04734, 대한민국",37.5457482,127.015538
서울특별시 성동구 무학로 33,"크린토피아, 33, 무학로, 19통, 왕십리도선동, 성동구, 서울특별시, 04707, 대한민국",37.5675555,127.0271278
서울특별시 성동구 무학로 42,"무학로, 17통, 왕십리도선동, 성동구, 서울특별시, 02589, 대한민국",37.5691759,127.030254
서울특별시 성동구 상원6길 5,"상원6길, 성수1가2동, 성동구, 서울특별시, 04790, 대한민국",37.5488081,127.0492651
